FIRSTNAME,LASTNAME,EMAIL,PROGRAMME,COURSE
Tomasina,Horsell,thorsell0@msu.edu,CO,Data
Deidre,Seel,dseel1@jalbum.net,ME,Java
Jan,Lummis,jlummis2@sina.com.cn,CO,Data
Gabbi,Wordington,gwordington3@barnesandnoble.com,ME,Hadoop
Jackqueline,Lightman,jlightman4@wsj.com,CS,Data
Rakel,Lecount,rlecount5@nasa.gov,CO,Hadoop
Humfrid,Behning,hbehning6@slideshare.net,CS,Java
Brigitta,Padbery,bpadbery7@liveinternet.ru,CS,Java
Anett,Domico,adomico8@sbwire.com,ME,Hadoop
Dominique,Passie,dpassie9@buzzfeed.com,CO,Java
Analiese,Venton,aventona@shop-pro.jp,CS,Java
Carlos,Markwell,cmarkwellb@ft.com,ME,Data
Muire,Chartre,mchartrec@usgs.gov,CS,Java
Idelle,Worms,iwormsd@about.com,CO,C#
Tabbitha,Cristofvao,tcristofvaoe@economist.com,CO,Data
Ginni,Newens,gnewensf@adobe.com,ME,C#
Evy,Hurn,ehurng@netvibes.com,CS,Data
Candida,Kassman,ckassmanh@bloglovin.com,ME,Hadoop
Jinny,Vitet,jviteti@cdc.gov,CS,Java
Josephine,Dingwall,jdingwallj@google.ca,CS,Hadoop
Nanci,Teasey,nteaseyk@163.com,CS,Hadoop
Findley,Dring,fdringl@bbc.co.uk,CS,Data
Jeramie,Millea,jmilleam@hatena.ne.jp,CO,C#
Lacy,Bourchier,lbourchiern@narod.ru,CS,Hadoop
Angy,Jonas,ajonaso@t-online.de,ME,Data
Bibby,Longcake,blongcakep@mozilla.com,CO,Java
Jonie,Bortoletti,jbortolettiq@cdc.gov,CS,C#
Dominik,Halden,dhaldenr@free.fr,CO,C#
Peri,Toffalo,ptoffalos@google.de,ME,Data
Aubrey,Chappelow,achappelowt@etsy.com,ME,Data
Kary,Blaisdell,kblaisdellu@tuttocitta.it,CO,Data
Zolly,Mallen,zmallenv@narod.ru,CS,Java
Cirillo,Erlam,cerlamw@cmu.edu,CO,Java
Farlie,Callendar,fcallendarx@nymag.com,CO,Data
Wildon,Caccavale,wcaccavaley@mashable.com,CO,C#
Hynda,Yurinov,hyurinovz@ezinearticles.com,CS,Hadoop
Gregoor,Causer,gcauser10@toplist.cz,ME,Java
Harvey,Droghan,hdroghan11@w3.org,CS,C#
Alyosha,McVicker,amcvicker12@chicagotribune.com,CS,C#
Micki,Wetwood,mwetwood13@wired.com,ME,Java
Abra,Rollinshaw,arollinshaw14@ustream.tv,CO,Data
Jacinta,Edwicker,jedwicker15@deviantart.com,ME,Data
Ariella,Denniston,adenniston16@shop-pro.jp,CO,Hadoop
Demetria,Sherer,dsherer17@seattletimes.com,CO,Java
Ludvig,Michele,lmichele18@cnet.com,CS,C#
Ikey,Ellcock,iellcock19@usnews.com,CO,C#
Georgetta,Chirm,gchirm1a@typepad.com,CO,C#
Bellanca,Honnan,bhonnan1b@shop-pro.jp,ME,C#
Bernita,Normabell,bnormabell1c@last.fm,CS,Java
Coralie,Rodgerson,crodgerson1d@un.org,ME,Hadoop
Parsifal,Faint,pfaint1e@patch.com,ME,C#
Dur,Inge,dinge1f@ihg.com,ME,Hadoop
Vania,De Bischof,vdebischof1g@newyorker.com,CO,Hadoop
Chan,Eakley,ceakley1h@networkadvertising.org,CO,C#
Vinnie,Wallbank,vwallbank1i@harvard.edu,CO,C#
Emili,Feldman,efeldman1j@hibu.com,CO,Java
Pippy,Delafont,pdelafont1k@networksolutions.com,CS,Data
Erskine,Barrass,ebarrass1l@hugedomains.com,ME,Java
Ericka,Aysh,eaysh1m@constantcontact.com,CS,Hadoop
Cross,Gallihawk,cgallihawk1n@answers.com,CS,Java
Xenia,Meeks,xmeeks1o@google.co.uk,CS,C#
Mitzi,Van der Linde,mvanderlinde1p@nih.gov,ME,Data
Lily,Metzke,lmetzke1q@pagesperso-orange.fr,CS,Hadoop
Hilarius,Chetham,hchetham1r@live.com,ME,Data
Velma,Kears,vkears1s@123-reg.co.uk,CS,Data
Horatio,Pow,hpow1t@posterous.com,CO,Data
Izak,Whelpdale,iwhelpdale1u@wired.com,CO,Data
Edmund,Petrulis,epetrulis1v@intel.com,CO,Hadoop
Hayden,Abbay,habbay1w@smh.com.au,CO,Java
Reiko,Held,rheld1x@yale.edu,CO,C#
Josselyn,Borrows,jborrows1y@webmd.com,CS,Hadoop
Ferrel,Havoc,fhavoc1z@aboutads.info,CO,C#
Mirabella,De la Yglesia,mdelayglesia20@flavors.me,CS,Hadoop
Wilhelmina,Eake,weake21@ow.ly,CO,Hadoop
Rodi,Georgeou,rgeorgeou22@google.fr,CS,Hadoop
Mikkel,Jaukovic,mjaukovic23@wordpress.org,CO,Data
Mildred,Peterkin,mpeterkin24@disqus.com,ME,Data
Gilburt,Cuesta,gcuesta25@livejournal.com,CO,Data
Borden,Panchin,bpanchin26@japanpost.jp,CS,Hadoop
Seana,Lynds,slynds27@symantec.com,CS,Java
Dmitri,Kilford,dkilford28@wordpress.com,ME,Hadoop
Arlette,Meates,ameates29@dailymail.co.uk,CS,Data
Merle,Francklin,mfrancklin2a@yahoo.com,CO,C#
Marlin,Plunket,mplunket2b@whitehouse.gov,CO,C#
Cordi,Goodbarne,cgoodbarne2c@woothemes.com,ME,C#
Dela,Alfonso,dalfonso2d@techcrunch.com,ME,C#
Guinna,Masham,gmasham2e@un.org,CO,Hadoop
Francoise,McGeagh,fmcgeagh2f@g.co,ME,Data
Damita,Offin,doffin2g@deviantart.com,ME,Java
Karisa,Partrick,kpartrick2h@va.gov,CS,Java
Kerianne,Eltone,keltone2i@mashable.com,CS,Data
Cyb,Penner,cpenner2j@weather.com,CS,Java
Chelsae,Weedenburg,cweedenburg2k@amazon.com,CS,C#
Zollie,Pryer,zpryer2l@ezinearticles.com,CO,Data
Monika,Thurlby,mthurlby2m@hibu.com,CO,Hadoop
Valentine,Pimm,vpimm2n@xing.com,CS,Data
Tarra,Phin,tphin2o@hexun.com,CO,C#
Phoebe,Stevens,pstevens2p@tinyurl.com,CO,Hadoop
Anni,Durgan,adurgan2q@yellowbook.com,CS,Hadoop
Truman,Burnhill,tburnhill2r@surveymonkey.com,ME,Hadoop
